shot_size,seed,embedding,auroc_macro,auprc_macro,n_train
10,0,concat,0.7365619723864534,0.47988035848939853,50
10,1,concat,0.7269862917321734,0.4828652848842391,50
10,2,concat,0.7140156805845403,0.4552125496927258,50
50,0,concat,0.803466614224502,0.5606748026745226,250
50,1,concat,0.807326385771459,0.5605233941798604,250
50,2,concat,0.7922464656988968,0.5498494926275604,250
100,0,concat,0.8165776420713673,0.5809196207989966,500
100,1,concat,0.8119852673586985,0.5726755342487444,500
100,2,concat,0.8123281970503381,0.5697965171433884,500
500,0,concat,0.8274188215394147,0.5967496568496646,2500
500,1,concat,0.8250393506342493,0.5976677215143462,2500
500,2,concat,0.8256793445626507,0.5989360563930586,2500
